Accident_ID,Accident_Description,Police_Station,Investigation_Status,Reported_By,Insurance_Claim,Claim_Amount,Fault,Injured_Person_Name,Contact_Info,Vehicle_Damage,Repair_Cost,Legal_Proceedings,Lawyer_Involved,Lawyer_Fee
63,Description_63,Station_63,Completed,Passenger,True,7298,Road conditions,Person_63,Contact_63,Major,3117,True,False,4700
64,Description_64,Station_64,Pending,Witness,False,8146,Other driver,Person_64,Contact_64,No damage,1138,True,True,4590
65,Description_65,Station_65,Pending,Driver,False,2810,Other driver,Person_65,Contact_65,Major,3063,False,False,2897
66,Description_66,Station_66,Completed,Passenger,True,8914,Driver,Person_66,Contact_66,Minor,2782,True,False,2269
67,Description_67,Station_67,Completed,Driver,True,3845,Road conditions,Person_67,Contact_67,No damage,2980,False,False,1887
68,Description_68,Station_68,Completed,Witness,False,3125,Driver,Person_68,Contact_68,No damage,4982,False,True,2449
69,Description_69,Station_69,Completed,Driver,False,8341,Other driver,Person_69,Contact_69,Minor,3565,True,True,1809
70,Description_70,Station_70,Completed,Witness,True,1319,Other driver,Person_70,Contact_70,Minor,2097,False,False,3872
71,Description_71,Station_71,Pending,Passenger,True,9086,Driver,Person_71,Contact_71,Minor,2773,False,True,4813
72,Description_72,Station_72,Pending,Witness,True,4363,Driver,Person_72,Contact_72,No damage,1975,True,True,1850
73,Description_73,Station_73,Completed,Witness,False,4386,Other driver,Person_73,Contact_73,No damage,3279,True,False,3495
74,Description_74,Station_74,Pending,Passenger,True,4338,Road conditions,Person_74,Contact_74,Major,1246,True,False,4707
75,Description_75,Station_75,Completed,Witness,True,9177,Driver,Person_75,Contact_75,No damage,2909,False,True,1216
76,Description_76,Station_76,Pending,Driver,True,9436,Road conditions,Person_76,Contact_76,No damage,4916,False,False,3878
77,Description_77,Station_77,Completed,Passenger,False,7734,Other driver,Person_77,Contact_77,Major,3139,False,True,1529
78,Description_78,Station_78,Completed,Driver,True,8258,Driver,Person_78,Contact_78,No damage,3864,True,True,3164
79,Description_79,Station_79,Pending,Passenger,True,1869,Driver,Person_79,Contact_79,Major,4851,False,True,3286
80,Description_80,Station_80,Completed,Witness,True,2459,Other driver,Person_80,Contact_80,Major,1362,False,True,4673
81,Description_81,Station_81,Completed,Driver,True,7784,Driver,Person_81,Contact_81,Major,2709,True,True,3988
82,Description_82,Station_82,Completed,Passenger,False,5109,Driver,Person_82,Contact_82,Minor,2840,False,False,2299
83,Description_83,Station_83,Pending,Driver,True,8042,Road conditions,Person_83,Contact_83,Minor,661,False,False,4073
84,Description_84,Station_84,Pending,Passenger,False,7429,Driver,Person_84,Contact_84,No damage,4512,True,False,4903
85,Description_85,Station_85,Completed,Passenger,True,9862,Road conditions,Person_85,Contact_85,Major,3714,False,False,3845
86,Description_86,Station_86,Pending,Driver,True,1685,Driver,Person_86,Contact_86,Minor,4609,False,False,3709
87,Description_87,Station_87,Pending,Driver,True,6027,Driver,Person_87,Contact_87,Major,2133,True,False,1763
88,Description_88,Station_88,Completed,Driver,True,2974,Other driver,Person_88,Contact_88,Major,1070,True,False,3665
89,Description_89,Station_89,Pending,Driver,True,8594,Other driver,Person_89,Contact_89,Minor,4084,True,True,3422
90,Description_90,Station_90,Completed,Passenger,True,5138,Driver,Person_90,Contact_90,Major,4822,True,True,1289
91,Description_91,Station_91,Completed,Driver,False,2317,Road conditions,Person_91,Contact_91,No damage,4395,True,False,2148
92,Description_92,Station_92,Completed,Driver,False,6464,Other driver,Person_92,Contact_92,No damage,1285,True,True,1162
93,Description_93,Station_93,Completed,Driver,False,6115,Other driver,Person_93,Contact_93,No damage,4428,False,False,1893
94,Description_94,Station_94,Pending,Driver,False,8409,Other driver,Person_94,Contact_94,No damage,1322,True,True,3244
95,Description_95,Station_95,Completed,Driver,False,1566,Driver,Person_95,Contact_95,Minor,2082,True,True,4896
96,Description_96,Station_96,Pending,Driver,True,8895,Road conditions,Person_96,Contact_96,Minor,4291,False,True,3574
97,Description_97,Station_97,Pending,Witness,True,8297,Road conditions,Person_97,Contact_97,No damage,932,False,True,4366
98,Description_98,Station_98,Pending,Witness,True,3465,Driver,Person_98,Contact_98,Minor,2789,False,False,4534
99,Description_99,Station_99,Completed,Passenger,True,5144,Other driver,Person_99,Contact_99,No damage,3163,False,False,2563
100,Description_100,Station_100,Completed,Driver,False,5348,Road conditions,Person_100,Contact_100,Minor,4872,True,False,1011
101,Description_101,Station_101,Completed,Driver,False,4926,Road conditions,Person_101,Contact_101,Minor,4240,False,False,1194
102,Description_102,Station_102,Completed,Passenger,True,8559,Driver,Person_102,Contact_102,Major,3233,True,True,2289
103,Description_103,Station_103,Completed,Driver,True,5010,Road conditions,Person_103,Contact_103,No damage,3655,False,False,1867
104,Description_104,Station_104,Completed,Driver,False,3877,Road conditions,Person_104,Contact_104,Major,1146,True,True,2798
105,Description_105,Station_105,Completed,Driver,False,2400,Other driver,Person_105,Contact_105,No damage,1809,True,True,2706
106,Description_106,Station_106,Pending,Witness,True,7707,Other driver,Person_106,Contact_106,Minor,2384,True,False,3384
107,Description_107,Station_107,Pending,Driver,False,1740,Other driver,Person_107,Contact_107,No damage,4650,True,True,3323
108,Description_108,Station_108,Completed,Witness,True,7330,Road conditions,Person_108,Contact_108,Major,3303,True,False,1814
109,Description_109,Station_109,Completed,Driver,True,9891,Other driver,Person_109,Contact_109,Major,642,True,False,1752
110,Description_110,Station_110,Pending,Driver,False,1702,Driver,Person_110,Contact_110,Minor,4952,True,False,2517
111,Description_111,Station_111,Completed,Passenger,False,7255,Other driver,Person_111,Contact_111,Major,1142,True,False,4316
112,Description_112,Station_112,Pending,Passenger,True,5388,Other driver,Person_112,Contact_112,Minor,2999,True,False,4099
113,Description_113,Station_113,Pending,Driver,False,8127,Road conditions,Person_113,Contact_113,Minor,4642,False,True,4275
114,Description_114,Station_114,Completed,Driver,False,2820,Other driver,Person_114,Contact_114,Minor,3300,True,False,3833
115,Description_115,Station_115,Completed,Driver,True,8906,Driver,Person_115,Contact_115,Minor,926,True,False,3360
116,Description_116,Station_116,Pending,Witness,True,5744,Other driver,Person_116,Contact_116,Minor,1367,False,False,3412
117,Description_117,Station_117,Pending,Driver,True,5391,Other driver,Person_117,Contact_117,Major,2062,True,True,1946
118,Description_118,Station_118,Completed,Passenger,False,2379,Driver,Person_118,Contact_118,Major,3447,False,False,4108
119,Description_119,Station_119,Pending,Witness,True,9470,Driver,Person_119,Contact_119,Major,3398,False,False,1971
120,Description_120,Station_120,Completed,Driver,True,9038,Other driver,Person_120,Contact_120,Major,3413,True,True,2415
121,Description_121,Station_121,Completed,Witness,True,5347,Road conditions,Person_121,Contact_121,Minor,3395,True,True,4837
122,Description_122,Station_122,Completed,Witness,False,2343,Driver,Person_122,Contact_122,No damage,3239,True,True,1871
123,Description_123,Station_123,Completed,Witness,False,6270,Driver,Person_123,Contact_123,No damage,2086,True,True,3664
124,Description_124,Station_124,Pending,Witness,True,1604,Road conditions,Person_124,Contact_124,No damage,1028,True,True,4067
125,Description_125,Station_125,Completed,Driver,False,7519,Driver,Person_125,Contact_125,No damage,3850,False,True,4314
126,Description_126,Station_126,Completed,Passenger,False,8532,Driver,Person_126,Contact_126,Major,3873,False,False,3002
127,Description_127,Station_127,Pending,Witness,True,7583,Road conditions,Person_127,Contact_127,Minor,1919,True,True,3147
128,Description_128,Station_128,Pending,Passenger,False,1591,Other driver,Person_128,Contact_128,Major,1024,True,False,1965
129,Description_129,Station_129,Pending,Witness,False,9038,Road conditions,Person_129,Contact_129,Major,4285,False,False,2782
130,Description_130,Station_130,Completed,Passenger,True,7163,Other driver,Person_130,Contact_130,Major,1463,True,True,3011
131,Description_131,Station_131,Pending,Witness,False,4954,Driver,Person_131,Contact_131,Minor,949,False,True,3091
132,Description_132,Station_132,Pending,Witness,False,9203,Driver,Person_132,Contact_132,Major,1282,True,True,3112
133,Description_133,Station_133,Completed,Driver,False,7779,Other driver,Person_133,Contact_133,Minor,2263,True,False,4249
134,Description_134,Station_134,Pending,Driver,False,1121,Road conditions,Person_134,Contact_134,No damage,2609,True,False,2170
135,Description_135,Station_135,Pending,Witness,False,3276,Driver,Person_135,Contact_135,Major,1724,True,False,1560
136,Description_136,Station_136,Pending,Passenger,True,9095,Road conditions,Person_136,Contact_136,Minor,996,False,False,2090
137,Description_137,Station_137,Pending,Driver,True,8076,Other driver,Person_137,Contact_137,Major,3386,True,False,1995
138,Description_138,Station_138,Completed,Driver,False,1877,Other driver,Person_138,Contact_138,No damage,707,True,True,2370
139,Description_139,Station_139,Completed,Driver,True,1785,Other driver,Person_139,Contact_139,Minor,2001,True,True,3093
140,Description_140,Station_140,Completed,Driver,True,3076,Road conditions,Person_140,Contact_140,No damage,3003,True,False,2093
141,Description_141,Station_141,Pending,Witness,True,6671,Road conditions,Person_141,Contact_141,No damage,3216,True,True,4485
142,Description_142,Station_142,Pending,Passenger,True,1100,Other driver,Person_142,Contact_142,Minor,2279,True,True,4930
143,Description_143,Station_143,Pending,Driver,False,9567,Driver,Person_143,Contact_143,Major,1913,False,False,2477
144,Description_144,Station_144,Completed,Driver,False,9837,Other driver,Person_144,Contact_144,Minor,1388,True,True,3668
145,Description_145,Station_145,Pending,Passenger,False,4382,Driver,Person_145,Contact_145,No damage,2533,True,False,3920
146,Description_146,Station_146,Completed,Driver,True,6960,Driver,Person_146,Contact_146,Minor,4606,True,False,1208
147,Description_147,Station_147,Completed,Passenger,False,7343,Driver,Person_147,Contact_147,Major,3001,False,True,4886
148,Description_148,Station_148,Pending,Witness,True,5816,Road conditions,Person_148,Contact_148,Minor,3278,False,False,1989
149,Description_149,Station_149,Pending,Driver,False,3023,Driver,Person_149,Contact_149,No damage,2240,False,False,4278
150,Description_150,Station_150,Pending,Passenger,False,8292,Driver,Person_150,Contact_150,Major,4464,True,True,1380
151,Description_151,Station_151,Completed,Driver,True,2045,Other driver,Person_151,Contact_151,Major,4527,False,True,4154
152,Description_152,Station_152,Pending,Witness,False,3097,Driver,Person_152,Contact_152,Minor,4284,False,True,1285
153,Description_153,Station_153,Pending,Passenger,True,4822,Driver,Person_153,Contact_153,Minor,4704,False,True,3919
154,Description_154,Station_154,Pending,Passenger,False,5821,Other driver,Person_154,Contact_154,Minor,526,False,False,4528
155,Description_155,Station_155,Pending,Passenger,True,4866,Road conditions,Person_155,Contact_155,No damage,1939,True,True,2658
156,Description_156,Station_156,Pending,Driver,True,7209,Driver,Person_156,Contact_156,Major,1505,False,True,1417
157,Description_157,Station_157,Completed,Passenger,True,9076,Road conditions,Person_157,Contact_157,Major,1812,True,True,2261
158,Description_158,Station_158,Pending,Passenger,False,3349,Other driver,Person_158,Contact_158,Major,4057,False,False,1345
159,Description_159,Station_159,Completed,Passenger,False,1383,Road conditions,Person_159,Contact_159,Major,3836,False,False,1365
160,Description_160,Station_160,Completed,Witness,True,3585,Driver,Person_160,Contact_160,Major,1511,True,True,1356
161,Description_161,Station_161,Pending,Passenger,True,1702,Road conditions,Person_161,Contact_161,No damage,2176,False,False,1060
162,Description_162,Station_162,Completed,Passenger,True,3096,Road conditions,Person_162,Contact_162,Major,2772,False,True,3431
163,Description_163,Station_163,Completed,Passenger,False,1318,Other driver,Person_163,Contact_163,Minor,829,True,False,4234
164,Description_164,Station_164,Pending,Witness,True,9212,Other driver,Person_164,Contact_164,No damage,4517,False,False,2769
165,Description_165,Station_165,Completed,Passenger,False,1591,Other driver,Person_165,Contact_165,No damage,3504,False,False,1577
166,Description_166,Station_166,Completed,Driver,False,5104,Other driver,Person_166,Contact_166,Major,3875,False,True,3060
167,Description_167,Station_167,Completed,Passenger,False,2460,Other driver,Person_167,Contact_167,Minor,4862,True,True,3619
168,Description_168,Station_168,Completed,Driver,True,2911,Other driver,Person_168,Contact_168,Minor,3957,False,False,4178
169,Description_169,Station_169,Pending,Witness,False,4126,Other driver,Person_169,Contact_169,Major,4346,True,False,1362
170,Description_170,Station_170,Completed,Witness,True,7912,Other driver,Person_170,Contact_170,No damage,3948,True,True,2288
171,Description_171,Station_171,Pending,Passenger,True,7847,Road conditions,Person_171,Contact_171,Major,2734,False,True,2940
172,Description_172,Station_172,Completed,Passenger,False,8044,Other driver,Person_172,Contact_172,No damage,3026,True,False,2960
173,Description_173,Station_173,Completed,Witness,False,6348,Road conditions,Person_173,Contact_173,Major,3233,False,True,4179
174,Description_174,Station_174,Pending,Witness,True,2270,Driver,Person_174,Contact_174,Minor,2370,True,True,1832
175,Description_175,Station_175,Completed,Witness,False,8166,Other driver,Person_175,Contact_175,Major,4218,False,False,3515
176,Description_176,Station_176,Completed,Driver,False,1281,Driver,Person_176,Contact_176,Minor,3665,True,False,3736
177,Description_177,Station_177,Pending,Driver,False,6212,Other driver,Person_177,Contact_177,Major,2945,False,True,3884
178,Description_178,Station_178,Pending,Passenger,False,2829,Driver,Person_178,Contact_178,Minor,2044,False,True,1267
179,Description_179,Station_179,Pending,Driver,True,9744,Road conditions,Person_179,Contact_179,Minor,4717,True,False,3282
180,Description_180,Station_180,Pending,Witness,False,4739,Other driver,Person_180,Contact_180,Minor,4981,False,False,1916
181,Description_181,Station_181,Pending,Passenger,False,7276,Road conditions,Person_181,Contact_181,Minor,3913,True,True,2852
182,Description_182,Station_182,Pending,Driver,False,3964,Driver,Person_182,Contact_182,Minor,4281,False,False,2647
183,Description_183,Station_183,Pending,Passenger,False,6616,Road conditions,Person_183,Contact_183,Major,1418,True,False,2830
184,Description_184,Station_184,Pending,Driver,False,8763,Other driver,Person_184,Contact_184,Major,2929,False,False,3262
185,Description_185,Station_185,Completed,Passenger,False,3807,Road conditions,Person_185,Contact_185,Major,4201,True,True,1455
186,Description_186,Station_186,Pending,Witness,False,3919,Road conditions,Person_186,Contact_186,No damage,655,True,False,2301
187,Description_187,Station_187,Completed,Witness,False,2570,Driver,Person_187,Contact_187,Minor,3699,True,True,3649
188,Description_188,Station_188,Completed,Witness,False,6756,Driver,Person_188,Contact_188,No damage,3614,False,False,3386
189,Description_189,Station_189,Completed,Driver,True,7707,Other driver,Person_189,Contact_189,Minor,2098,False,False,3872
190,Description_190,Station_190,Pending,Passenger,True,8949,Driver,Person_190,Contact_190,Minor,2928,False,True,1718
191,Description_191,Station_191,Pending,Passenger,False,7876,Road conditions,Person_191,Contact_191,Major,2180,False,True,2188
192,Description_192,Station_192,Completed,Passenger,False,9252,Driver,Person_192,Contact_192,No damage,2455,False,True,2064
193,Description_193,Station_193,Pending,Driver,True,4575,Other driver,Person_193,Contact_193,Minor,3846,False,False,2236
194,Description_194,Station_194,Pending,Witness,True,3828,Driver,Person_194,Contact_194,Major,2936,True,True,3162
195,Description_195,Station_195,Pending,Witness,False,3574,Other driver,Person_195,Contact_195,No damage,1546,True,False,2484
196,Description_196,Station_196,Pending,Passenger,True,4382,Other driver,Person_196,Contact_196,No damage,4447,False,True,4206
197,Description_197,Station_197,Completed,Passenger,True,4764,Road conditions,Person_197,Contact_197,Minor,3955,True,True,2368
198,Description_198,Station_198,Pending,Driver,True,4424,Road conditions,Person_198,Contact_198,Minor,3982,False,False,3080
199,Description_199,Station_199,Completed,Passenger,True,2098,Road conditions,Person_199,Contact_199,Major,2334,False,False,1514
200,Description_200,Station_200,Pending,Passenger,True,1197,Other driver,Person_200,Contact_200,No damage,3852,False,True,4622
201,Description_201,Station_201,Completed,Driver,True,3688,Driver,Person_201,Contact_201,No damage,3753,False,False,4423
202,Description_202,Station_202,Completed,Passenger,True,8098,Driver,Person_202,Contact_202,Minor,727,True,True,3792
203,Description_203,Station_203,Pending,Witness,True,7129,Other driver,Person_203,Contact_203,Major,3652,True,True,1931
204,Description_204,Station_204,Pending,Driver,False,1509,Other driver,Person_204,Contact_204,No damage,3135,False,True,2012
205,Description_205,Station_205,Completed,Witness,True,3463,Driver,Person_205,Contact_205,Minor,3852,True,True,1679
206,Description_206,Station_206,Completed,Passenger,False,8097,Driver,Person_206,Contact_206,No damage,3311,True,True,1499
207,Description_207,Station_207,Pending,Passenger,True,2888,Other driver,Person_207,Contact_207,No damage,673,True,True,2521
208,Description_208,Station_208,Pending,Driver,False,3250,Driver,Person_208,Contact_208,No damage,1898,False,True,2302
209,Description_209,Station_209,Pending,Driver,False,5671,Driver,Person_209,Contact_209,Major,3902,False,False,4521
210,Description_210,Station_210,Pending,Driver,False,6010,Other driver,Person_210,Contact_210,Major,4235,True,False,4807
211,Description_211,Station_211,Completed,Driver,False,1984,Other driver,Person_211,Contact_211,Major,2934,True,False,1301
212,Description_212,Station_212,Pending,Passenger,True,1795,Road conditions,Person_212,Contact_212,Major,3719,False,True,4589
213,Description_213,Station_213,Pending,Passenger,False,7089,Road conditions,Person_213,Contact_213,No damage,4938,False,True,3886
214,Description_214,Station_214,Pending,Witness,True,1847,Driver,Person_214,Contact_214,Major,1647,False,False,1823
215,Description_215,Station_215,Completed,Witness,False,2391,Other driver,Person_215,Contact_215,Minor,4055,False,True,2300
216,Description_216,Station_216,Pending,Driver,True,8593,Driver,Person_216,Contact_216,Minor,1977,True,False,3656
217,Description_217,Station_217,Completed,Passenger,False,6717,Other driver,Person_217,Contact_217,Minor,1205,False,True,2103
218,Description_218,Station_218,Pending,Driver,True,3993,Driver,Person_218,Contact_218,Minor,3920,False,False,2474
219,Description_219,Station_219,Completed,Driver,True,8627,Driver,Person_219,Contact_219,Minor,3000,False,True,1793
220,Description_220,Station_220,Completed,Driver,False,5457,Other driver,Person_220,Contact_220,Minor,2555,False,True,3302
221,Description_221,Station_221,Pending,Driver,True,5571,Road conditions,Person_221,Contact_221,No damage,2389,False,True,2688
222,Description_222,Station_222,Completed,Driver,True,9593,Road conditions,Person_222,Contact_222,Major,3944,True,False,2870
223,Description_223,Station_223,Completed,Passenger,False,1877,Other driver,Person_223,Contact_223,Minor,3096,False,False,4285
224,Description_224,Station_224,Pending,Witness,True,4154,Driver,Person_224,Contact_224,Minor,4028,False,True,3154
225,Description_225,Station_225,Completed,Driver,False,6709,Driver,Person_225,Contact_225,Major,4332,False,True,4172
226,Description_226,Station_226,Pending,Passenger,False,5441,Driver,Person_226,Contact_226,Major,1100,True,True,1624
227,Description_227,Station_227,Pending,Driver,True,2095,Other driver,Person_227,Contact_227,No damage,3894,True,False,2391
228,Description_228,Station_228,Pending,Passenger,False,2806,Road conditions,Person_228,Contact_228,Minor,4472,False,False,2727
229,Description_229,Station_229,Completed,Witness,False,6996,Other driver,Person_229,Contact_229,Minor,2882,True,True,3740
230,Description_230,Station_230,Completed,Witness,True,2676,Road conditions,Person_230,Contact_230,Minor,621,False,True,1561
231,Description_231,Station_231,Completed,Passenger,True,9399,Road conditions,Person_231,Contact_231,No damage,975,True,False,4100
232,Description_232,Station_232,Completed,Driver,True,6501,Other driver,Person_232,Contact_232,Major,736,False,False,1356
233,Description_233,Station_233,Pending,Witness,False,8276,Road conditions,Person_233,Contact_233,No damage,3326,False,True,3450
234,Description_234,Station_234,Completed,Driver,False,8181,Road conditions,Person_234,Contact_234,No damage,4413,False,True,2639
235,Description_235,Station_235,Pending,Driver,True,9437,Road conditions,Person_235,Contact_235,Minor,2167,True,True,2118
236,Description_236,Station_236,Completed,Passenger,True,9068,Driver,Person_236,Contact_236,Major,881,False,False,2593
237,Description_237,Station_237,Completed,Driver,True,3602,Other driver,Person_237,Contact_237,Minor,4984,False,True,4213
238,Description_238,Station_238,Completed,Passenger,True,6167,Driver,Person_238,Contact_238,No damage,1970,True,True,4050
239,Description_239,Station_239,Pending,Passenger,True,4481,Other driver,Person_239,Contact_239,No damage,3764,True,False,1124
240,Description_240,Station_240,Pending,Passenger,True,2477,Driver,Person_240,Contact_240,Major,4705,False,True,4982
241,Description_241,Station_241,Pending,Witness,True,7285,Road conditions,Person_241,Contact_241,Major,4809,False,True,2086
242,Description_242,Station_242,Pending,Driver,True,3497,Driver,Person_242,Contact_242,Major,4224,True,True,1768
243,Description_243,Station_243,Completed,Passenger,True,6850,Driver,Person_243,Contact_243,Minor,3010,True,False,2395
244,Description_244,Station_244,Completed,Passenger,True,2480,Other driver,Person_244,Contact_244,No damage,1084,True,True,3251
245,Description_245,Station_245,Completed,Driver,False,2787,Other driver,Person_245,Contact_245,Major,1014,True,False,3367
246,Description_246,Station_246,Completed,Witness,False,2812,Driver,Person_246,Contact_246,Major,2549,True,True,3186
247,Description_247,Station_247,Pending,Passenger,False,3923,Other driver,Person_247,Contact_247,Major,3967,True,True,2198
248,Description_248,Station_248,Pending,Passenger,True,3561,Road conditions,Person_248,Contact_248,Minor,709,False,True,4848
249,Description_249,Station_249,Pending,Passenger,True,3946,Road conditions,Person_249,Contact_249,Minor,4653,False,False,2515
250,Description_250,Station_250,Completed,Passenger,False,1915,Road conditions,Person_250,Contact_250,Minor,2252,False,False,3656
